book_num,sentence
0,"['uncle', 'vernon', 'gone', 'pale', 'whispered', 'something', 'sounded', 'like', 'mimblewimble', 'hagrid', 'stared', 'wildly', 'harry']"
0,"['she', 'grabbed', 'harry', 'wand', 'tapped', 'lock', 'whispered', 'alohomora']"
0,"['wingardium', 'leviosa', 'shouted', 'waving', 'long', 'arms', 'like', 'windmill']"
0,"['it', 'winggardium', 'leviosa', 'make', 'gar', 'nice', 'long']"
0,"['hermione', 'rolled', 'sleeves', 'gown', 'flicked', 'wand', 'said', 'wingardium', 'leviosa']"
0,"['hermione', 'sunk', 'floor', 'fright', 'ron', 'pulled', 'wand', 'knowing', 'going', 'heard', 'cry', 'first', 'spell', 'came', 'head', 'wingardium', 'leviosa']"
0,"['now', 'forget', 'locomotor', 'mortis', 'hermione', 'muttered', 'ron', 'slipped', 'wand', 'sleeve']"
0,"['petrificus', 'totalus', 'cried', 'pointing', 'neville']"
0,"['they', 'tugged', 'heaved', 'door', 'budge', 'even', 'hermione', 'tried', 'alohomora', 'charm']"
1,"['he', 'rolled', 'sleeves', 'brandished', 'wand', 'bellowed', 'peskipiksi', 'pesternomi']"
1,"['both', 'swung', 'wands', 'heads', 'pointed', 'opponent', 'snape', 'cried', 'expelliarmus', 'there', 'dazzling', 'flash', 'scarlet', 'light', 'lockhart', 'blasted', 'feet', 'he', 'flew', 'backward', 'stage', 'smashed', 'wall', 'slid', 'sprawl', 'floor']"
1,"['he', 'stumbled', 'everything', 'still', 'seemed', 'working', 'wasting', 'time', 'harry', 'pointed', 'wand', 'straight', 'malfoy', 'shouted', 'rictusempra']"
1,"['harry', 'hung', 'back', 'vague', 'feeling', 'would', 'unsporting', 'bewitch', 'malfoy', 'floor', 'mistake', 'gasping', 'breath', 'malfoy', 'pointed', 'wand', 'harry', 'knees', 'choked', 'tarantallegra', 'next', 'second', 'harry', 'legs', 'began', 'jerk', 'around', 'control', 'kind', 'quickstep']"
1,"['finite', 'incantatem', 'shouted', 'harry', 'feet', 'stopped', 'dancing', 'malfoy', 'stopped', 'laughing', 'able', 'look']"
1,"['malfoy', 'raised', 'wand', 'quickly', 'bellowed', 'serpensortia']"
1,"['she', 'tapped', 'diary', 'three', 'times', 'said', 'aparecium']"
1,"['he', 'pulled', 'wand', 'shouted', 'expelliarmus', 'snape', 'disarmed', 'lockhart', 'malfoy', 'found', 'diary', 'shooting', 'hand', 'air']"
1,"['harry', 'took', 'wand', 'murmured', 'lumos', 'tiny', 'light', 'appeared', 'end', 'enough', 'let', 'watch', 'path', 'signs', 'spiders']"
1,"['lockhart', 'barely', 'raised', 'harry', 'bellowed', 'expelliarmus']"
1,"['lumos', 'harry', 'muttered', 'wand', 'lit']"
1,"['he', 'raised', 'ron', 'spellotaped', 'wand', 'high', 'head', 'yelled', 'obliviate']"
2,"['lumos', 'harry', 'muttered', 'light', 'appeared', 'end', 'wand', 'almost', 'dazzling']"
2,"['i', 'eard', 'thought', 'e', 'secondincommand', 'youknow', 'oo', 'ad', 'taken']"
2,"['they', 'ad', 'job', 'coverin', 'din', 'ern', 'stan', 'said']"
2,"['what', 'said', 'ad', 'appened', 'ern']"
